changes,insertions,deletions
19,118,37
20,397,101
78,4033,3612
18,139,26
14,155,30
20,634,396
9,72,8
43,611,155
140,2691,2846
211,2166,1187
35,288,660
47,543,633
119,1090,1077
6,36,16
81,663,531
16,106,34
31,247,157
49,439,162
5,15,3
16,95,13
15,125,103
26,598,225
99,1226,174
47,564,444
23,378,298
6,15,3
6,19,4
22,177,92
9,163,45
44,704,215
14,92,4
36,425,215
51,726,200
33,462,81
176,1897,1231
34,344,177
9,106,23
240,1191,1085
8,38,5
16,68,62
446,5853,3119
78,653,335
479,4955,3192
25,174,32
26,274,20
7,71,46
27,311,45
45,374,260
26,329,82
59,756,119
20,209,16
44,564,112
8,40,4
6,16,2
6,22,10
11,87,79
39,375,70
39,508,175
69,763,162
50,409,316
64,426,239
86,850,346
38,436,92
282,1992,1419
16,106,40
39,468,318
55,395,179
11,286,89
31,6230,4955
74,828,383
26,226,147
20,258,50
48,445,114
39,583,433
75,595,363
37,573,757
21,191,39
51,424,155
28,353,107
14,109,39
42,494,214
19,631,21
74,1873,453
16,100,37
21,257,623
39,518,2167
92,1424,1024
17,135,18
32,252,77
78,1051,971
30,212,237
12,159,94
17,237,233
42,877,151
15,150,5
70,1096,389
43,466,41
7,58,22
67,690,486
132,3830,4306
22,538,187
55,545,86
24,301,209
47,518,226
32,487,133
69,301,250
13,197,25
24,241,36
26,246,7
42,455,139
25,663,104
22,326,19
23,170,61
35,225,57
11,56,35
44,332,249
7,22,5
19,228,147
137,3702,2868
41,253,319
47,665,359
80,559,265
80,3062,2702
46,548,165
10,157,168
114,5703,5280
24,108,77
30,181,35
61,671,412
31,258,34
15,83,47
30,172,80
49,944,856
11,89,8
19,66,22
29,149,89
65,239,259
35,514,106
17,212,21
15,117,64
71,527,296
73,408,396
28,197,127
35,122,83
15,66,5
38,413,404
13,159,86
50,709,179
18,86,8
14,21,113
107,419,578
20,82,101
17,77,9
11,50,13
9,53,3
43,310,94
38,204,107
73,1334,1767
37,383,262
36,368,221
22,66,43
159,1500,1793
46,408,298
98,938,227
46,382,73
70,697,162
56,641,483
18,166,37
38,264,81
7,28,12
25,263,78
13,65,30
6,51,13
